#time,6411_s,6412_s,6413_s,6414_s,6431_s,6432_s,6433_s,6434_s,6435_s,6436_s,6437_s,6438_s,6439_s,6440_s,6531_s,6532_s,6533_s,6534_s,6535_s,6611_s,6631_s,6632_s,6633_s,6634_s,6635_s,6636_s,6411_e,6412_e,6413_e,6414_e,6431_e,6432_e,6433_e,6434_e,6435_e,6436_e,6437_e,6438_e,6439_e,6440_e,6531_e,6532_e,6533_e,6534_e,6535_e,6611_e,6631_e,6632_e,6633_e,6634_e,6635_e,6636_e,6411_i,6412_i,6413_i,6414_i,6431_i,6432_i,6433_i,6434_i,6435_i,6436_i,6437_i,6438_i,6439_i,6440_i,6531_i,6532_i,6533_i,6534_i,6535_i,6611_i,6631_i,6632_i,6633_i,6634_i,6635_i,6636_i,6411_r,6412_r,6413_r,6414_r,6431_r,6432_r,6433_r,6434_r,6435_r,6436_r,6437_r,6438_r,6439_r,6440_r,6531_r,6532_r,6533_r,6534_r,6535_r,6611_r,6631_r,6632_r,6633_r,6634_r,6635_r,6636_r,6411_d,6412_d,6413_d,6414_d,6431_d,6432_d,6433_d,6434_d,6435_d,6436_d,6437_d,6438_d,6439_d,6440_d,6531_d,6532_d,6533_d,6534_d,6535_d,6611_d,6631_d,6632_d,6633_d,6634_d,6635_d,6636_d
20,158714,760739,130322,277559,270378,297010,274713,236784,420328,238533,96263,355278,186940,309739,271204,252857,171819,245473,105324,200466,200448,119931,119745,179162,156273,99791,37,187,40,41,42,29,80,17,57,20,7,75,21,35,12,18,19,48,2,14,18,3,8,16,7,3,24,214,27,53,21,35,92,58,87,51,17,79,23,34,27,30,27,30,10,20,34,19,14,13,13,2,387,2863,496,921,569,607,912,418,1167,639,405,1064,443,535,413,445,418,343,164,533,535,328,503,611,233,234,18,74,11,23,3,22,18,6,54,18,63,47,8,13,7,20,7,4,6,9,16,23,32,39,5,16
21,158714,760720,130319,277554,270378,297010,274700,236768,420310,238520,96263,355267,186938,309738,271195,252847,171818,245473,105320,200466,200439,119926,119744,179161,156273,99790,28,193,35,41,38,25,67,15,47,19,5,71,17,27,10,17,20,50,2,15,15,3,7,15,3,3,26,218,34,64,30,34,109,61,92,53,16,96,25,36,28,35,25,36,11,24,39,20,14,18,14,3,390,2884,497,933,575,609,917,418,1173,643,406,1067,445,540,419,449,418,346,164,538,535,328,506,611,234,234,18,74,11,23,3,22,18,6,54,18,63,47,8,13,7,20,7,4,6,9,16,23,32,39,5,16
22,158712,760696,130312,277548,270375,297003,274692,236762,420291,238520,96263,355249,186934,309730,271192,252842,171813,245465,105320,200462,200435,119925,119741,179160,156271,99790,25,183,29,35,29,23,63,28,51,30,3,65,17,22,18,22,17,36,5,11,19,7,6,11,2,3,36,256,36,68,37,44,114,60,99,50,14,102,29,40,28,46,27,48,10,26,31,12,17,25,12,2,391,2908,499,933,575,612,917,418,1182,643,409,1067,445,544,419,449,424,354,164,538,534,328,508,611,234,234,18,75,11,23,3,22,18,6,54,18,63,47,8,13,7,20,7,4,6,9,17,23,32,39,5,16
23,158707,760606,130306,277537,270366,296999,274666,236759,420281,238515,96263,355239,186929,309719,271187,252841,171804,245455,105317,200462,200425,119924,119735,179158,156268,99789,15,159,30,34,22,19,55,27,60,24,3,69,16,24,20,15,18,31,5,11,19,6,5,5,4,2,46,286,39,72,48,48,123,62,106,53,16,117,32,50,25,41,28,61,7,26,33,8,17,27,14,3,393,2918,502,936,578,613,928,426,1185,652,411,1075,446,546,420,448,426,355,165,540,546,338,509,611,236,236,18,75,12,23,3,22,18,6,54,18,63,47,8,13,7,22,7,4,6,9,17,23,32,39,5,16
24,158700,760525,130297,277530,270360,296988,274651,236754,420269,238506,96263,355218,186913,309717,271181,252836,171796,245443,105315,200457,200421,119924,119734,179155,156267,99787,10,203,30,31,17,17,66,25,58,18,0,54,14,25,22,16,23,28,7,10,24,7,11,5,5,2,44,292,44,68,49,48,121,51,100,50,15,110,34,49,28,33,25,63,7,25,29,4,16,26,14,3,393,2934,505,946,581,615,934,429,1190,660,412,1085,450,545,426,453,429,355,169,541,549,342,509,611,236,236,18,75,12,23,3,22,18,6,54,18,63,47,8,14,7,22,7,4,6,9,17,23,32,39,5,16
25,158699,760473,130282,277514,270355,296982,274638,236743,420263,238492,96261,355199,186906,309711,271175,252826,171796,245420,105315,200454,200419,119923,119730,179149,156264,99781,14,242,26,35,18,24,62,30,59,27,0,65,27,25,23,21,25,35,9,14,27,7,11,7,6,4,43,286,44,62,47,44,110,39,90,40,11,110,26,45,27,32,24,65,5,29,26,3,13,23,12,3,398,2970,512,953,585,619,954,440,1207,663,413,1102,451,548,428,461,438,358,169,543,554,346,511,613,236,236,18,75,13,23,3,22,19,6,54,18,63,47,8,14,7,22,7,4,6,9,17,23,32,39,5,16
26,158688,760410,130276,277502,270351,296980,274622,236743,420252,238492,96261,355184,186903,309708,271158,252814,171788,245402,105315,200450,200419,119923,119727,179149,156264,99781,15,266,40,45,23,28,75,41,65,41,2,79,34,28,29,31,23,53,9,12,29,8,15,13,9,10,41,273,44,62,46,38,117,51,104,45,11,111,26,41,28,34,25,61,9,26,33,8,13,20,11,4,399,3004,513,965,587,625,965,452,1217,673,417,1107,459,555,429,462,441,361,171,544,557,347,514,616,238,236,18,75,13,23,3,22,19,6,54,18,63,47,8,14,7,22,7,4,6,9,17,23,32,39,5,16
27,158685,760379,130270,277497,270351,296974,274622,236743,420252,238492,96261,355179,186902,309706,271155,252814,171788,245399,105315,200446,200419,119923,119725,179149,156262,99778,26,310,43,52,27,30,78,25,58,28,2,83,35,30,37,33,30,71,5,16,20,3,17,12,9,9,42,278,51,63,46,40,122,57,112,45,9,129,28,49,28,33,28,64,9,27,37,9,15,21,10,4,401,3035,516,970,588,631,971,456,1221,681,417,1117,461,560,437,470,441,365,171,547,559,347,515,620,239,236,18,76,13,23,3,22,19,6,54,18,63,47,8,14,7,22,7,4,6,9,17,23,32,39,5,16
28,158681,760352,130252,277492,270338,296973,274602,236733,420237,238472,96260,355167,186898,309696,271153,252811,171787,245395,105314,200446,200413,119923,119724,179149,156260,99778,27,317,42,51,24,29,70,19,39,28,2,70,32,24,37,28,25,66,5,16,16,2,16,11,9,12,46,361,57,74,55,44,148,60,121,50,9,126,33,60,30,34,37,73,12,23,47,10,18,22,13,5,402,3054,516,975,591,636,974,456,1231,681,419,1117,463,560,440,476,443,370,171,550,559,347,516,620,242,236,18,76,13,23,3,22,19,6,55,18,63,47,8,14,7,22,7,4,6,9,17,23,32,39,5,16
29,158672,760249,130239,277469,270331,296961,274585,236725,420218,238460,96259,355144,186892,309687,271144,252800,171783,245389,105314,200436,200410,119922,119721,179144,156252,99770,26,254,54,45,28,26,64,26,44,43,3,72,31,23,34,30,17,60,3,16,12,1,11,9,8,11,51,429,66,76,60,53,142,47,116,47,7,140,48,60,35,39,44,83,11,28,45,10,19,23,13,7,402,3061,516,974,591,636,974,456,1232,681,419,1130,463,560,443,476,443,371,171,554,559,347,519,621,242,236,19,76,13,24,3,22,19,6,55,18,63,47,8,14,7,22,7,4,6,9,17,23,32,39,5,16
