#day,Werra-Meissner-Kreis,Kassel-City,Kassel,Waldeck-Frankenberg,Hersfeld-Rotenburg,Schwalm-Eder-Kreis,Fulda,Marburg-Biedenkopf,Lahn-Dill-Kreis,Limburg-Weilburg,Giessen,Vogelsbergkreis,Main-Kinzig-Kreis,Wetteraukreis,Rheingau-Taunus-Kreis,Hochtaunuskreis,Wiesbaden,Main-Taunus-Kreis,Frankfurt-am-Main,Offenbach-am-Main,Offenbach,Gross-Gerau,Darmstadt,Darmstadt-Dieburg,Odenwaldkreis,Bergstrasse
12.9465710891,23670.835843155,58292.25267446,42718.83025853,33036.94372676,17698.94846963,33436.76004455,70280.49628184,111355.33314163,73492.65117728,71239.39669011,119672.55793063,17516.888183305,176016.13013819,88795.79226292,57137.6541226,85498.8271718,151598.273029,119536.33662081,477619.016349,72954.126834001,116501.28992,135785.39104689,74559.076823398,147051.72444525,9245.698667,36306.66720614
13.8747719163,37053.990004237,87573.98142585,69992.08160714,52810.94739256,29800.90732214,54478.60460557,103641.798656,149240.481296209,110460.9218009,97975.142284264,161696.28243787,29053.242209348,241371.55691956,133866.58944082,84905.33093781,122080.32821067,191423.960549727,155304.605846404,574285.908902,91351.422833001,170287.49275366,177174.583018445,98840.895431999,191785.41789242,16262.1100767,61861.60075043
15.01224987,55971.587357155,125249.294059694,113085.36323356,82170.61995662,50348.825438873,87314.383684049,144842.594241209,187730.632798459,158039.219283229,126562.000518316,205064.142816567,47849.808136696,310881.57808527,192257.68772224,119774.839660333,164241.555239466,227775.039247182,189633.630332802,655570.814857,107904.908674,235504.46181917,217236.714286889,123034.022287799,235004.929628333,29743.6818188,106604.133023
15.8897261333,69340.769909067,149645.618272001,147202.752623742,103944.83540969,67977.746604394,112985.332609619,170576.881720367,208349.496888875,188837.798886153,142465.92882579,228561.146869433,63231.672374044,349404.104713187,230278.413046241,141869.017744738,189094.7626478,245911.320055,207318.302512002,694199.1756522,116090.828908,275608.989351332,238001.763638556,135822.2842914,257370.5607395,43214.0687985,146371.06219414
16.8748862938,80798.097115585,169335.145895385,179104.871819265,123276.108445972,85638.275527887,136759.743530126,190869.259317526,223251.3600831,213675.954076153,154192.271916527,245642.88685082,78011.101938609,377753.362774289,261059.074616801,159447.394873595,208013.6513398,258602.025858036,219863.734707521,720728.3316594,121798.0604272,306930.045289833,252780.235119367,145007.31331482,273270.627260683,58875.9580667,187493.933613286
17.8852426271,88483.485583615,182034.328896677,201891.575391055,136561.344181972,98962.558603267,153628.314385822,203769.542709831,232287.682624792,229678.895954674,161374.692877995,256030.727502177,88787.523769957,395103.013363085,280938.818585699,170681.440300455,219794.104079753,266205.999982673,227412.430165121,736563.1358391,125214.2532751,326728.03518625,261688.401299217,150563.58421542,282847.259091808,72376.1162522,219342.780138429
19.1102873565,93786.9284159956,190637.933706031,218163.461884436,145841.079104225,108805.860349566,165636.063411038,212455.006764484,238288.641034829,240507.801353302,166154.379825253,262932.541737317,96574.8002980565,406649.254856636,294405.413886358,178259.849171483,227663.2943275,271273.226498264,232428.67888224,747189.4537567,127492.9161078,340028.573032116,267611.791786372,154255.46278794,289211.667362833,83342.0259419,243270.301903843
20.1333753409,96182.4147960415,194514.640219508,225586.527444623,150042.607758772,113358.240297465,171112.477789164,216367.89169571,241016.144856442,245382.238553531,168320.119407811,266066.07025991,100141.375810809,411884.233612426,300467.378272504,181672.848353586,231212.597309193,273605.968999082,234722.25162304,752146.3778794,128544.1588443,346023.360286333,270319.499428172,155937.5165238,292119.764543017,88659.89137163,254414.155299586
20.9535503069,97343.0036066118,196402.638684862,229170.2383995,152073.026584034,115557.651750287,173759.336729924,218278.257805158,242369.789129352,247754.508233467,169390.10183229,267618.89438188,101862.04977,414472.368432831,303416.350616386,183337.085150155,232953.79217904,274779.675264618,235868.2879008,754672.33378,129074.2092706,348954.509895433,271671.724455511,156774.501168,293571.704417692,91258.22681441,259800.693799543
21.9527809301,98222.8493347422,197845.397795938,231864.015720193,153605.60071982,117203.954888248,175752.095509063,219743.171860068,243427.844574057,249566.298646521,170222.197085697,268830.640766461,103152.274157648,416486.572373875,305667.274509844,184611.244419967,234297.1490693,275710.063932185,236770.431855744,756700.09100721,129495.28163554,351206.304377733,272735.486312524,157430.478073794,294713.692151964,93197.07054501,263824.492220971
23.2055943487,98853.9507375375,198892.212511858,233770.132930684,154697.809893273,118359.238605746,177165.367238481,220811.218090679,244218.860221478,250880.060585025,170840.224580143,269734.665412359,104061.504911252,417983.947415138,307298.135454718,185538.224890896,235284.722398915,276417.82146675,237450.844837344,758266.40296343,129816.42188524,352852.077291793,273537.105567674,157922.521995336,295574.108822585,94539.69339042,266636.700275343
23.9481058586,99084.9008368477,199279.633709034,234458.045116166,155094.947124116,118772.376080182,177676.527859119,221208.345834591,244519.971365076,251366.020383845,171074.061824561,270078.134634349,104388.243208664,418550.959521573,307900.918072403,185882.19452443,235654.837099211,276691.504406349,237711.926842976,758880.42738653,129940.89003311,353465.424015423,273844.451864255,158110.3848804,295903.958057407,95011.78131246,267637.867627443
24.7712303351,99265.4997334022,199585.130165994,234990.36818399,155404.022440707,119089.803775777,178072.712852253,221522.574677344,244762.328033978,251749.075207477,171261.44560684,270354.203545306,104640.259266929,419005.596083761,308375.787459726,186153.951355158,235949.387608621,276914.273830726,237923.26418816,759385.12094392,130042.36863733,353951.538132117,274093.097697347,158261.912320614,296170.791681137,95369.506393516,268404.422869209
25.6693245605,99402.3333886837,199818.662883225,235389.168723561,155637.007787917,119325.769752744,178370.027595585,221763.659097182,244951.647370473,252041.782286769,171407.146392733,270569.545916751,104828.399125783,419359.313033851,308738.434009167,186362.117702722,236176.760070436,277090.346867018,238089.33493792,759788.09888709,130122.71112862,354325.142746645,274288.370738834,158380.540405116,296380.336964849,95631.34603523,268972.094372687
26.6332449343,99503.4658289572,199992.857056517,235680.481953829,155808.297734158,119496.736291833,178587.587806299,221944.162292709,245096.032288251,252260.029278235,171517.739985633,270733.536524078,104965.327771338,419627.966021188,309008.660849091,186517.716948122,236348.069675819,277226.244232229,238216.754502592,760102.35480456,130184.82690891,354605.357720877,274438.107891396,158471.215465956,296541.011652401,95817.955620161,269381.760104657
27.6554518128,99577.1967740421,200121.032579828,235890.365899083,155932.517351856,119618.895210071,178744.608432284,222077.482155455,245204.66029711,252420.55666592,171600.552108181,270856.734520241,105063.616426983,419829.254548139,309207.298314223,186632.452764891,236475.397665978,277329.709230312,238313.195600128,760344.08292548,130232.19868709,354812.687488113,274551.373858538,158539.586110872,296662.546349062,95949.052017068,269673.294502069
28.7330723789,99630.7915125827,200215.056234031,236041.153755268,156022.341694226,119705.93855986,178857.611670278,222175.641972728,245286.104344076,252538.267200008,171662.352345804,270948.969541746,105133.972529681,419979.559088172,309352.865354284,186716.791947274,236569.728885715,277408.190346241,238385.926831584,760529.290464546,130268.19104202,354965.603003783,274636.744858926,158590.957768458,296754.147706341,96040.893477849,269880.191921607
29.8681586622,99669.9206815022,200284.313713028,236149.993479182,156087.587668321,119768.261047351,178939.313369276,222248.209313848,245347.382746672,252624.942140295,171708.640997998,271018.270525666,105184.574285277,420092.202855212,309459.987602682,186779.043578668,236639.887024484,277467.909121611,238440.962743613,760671.595569785,130295.622307521,355078.8377718,274701.307569554,158629.691678975,296823.420496283,96105.563899826,270027.748903373
31.0668258013,99698.727187884,200335.739146873,236229.237138309,156135.385356025,119813.283023263,178998.893905985,222302.280352019,245393.825442178,252689.279184168,171743.570513631,271070.722640747,105221.289524642,420177.251515657,309539.456560827,186825.357567863,236692.469142652,277513.663861933,238482.903425878,760781.650233009,130316.671737224,355163.349397449,274750.481659263,158659.107241101,296876.180779284,96151.530177162,270133.938929867
32.3385623433,99720.1453386663,200374.292204145,236287.53230699,156170.755498759,119846.153675017,179042.791602487,222342.953803852,245429.336099735,252737.496767717,171770.166404273,271110.77623617,105248.208930994,420242.043294338,309598.981738626,186860.145030021,236732.244762326,277549.015063585,238515.14137871,760867.447555136,130332.959086906,355227.020162708,274788.259327118,158681.642602582,296916.712571967,96184.567169101,270211.183927155
33.6960852417,99736.2342079952,200403.483136526,236330.876313055,156197.204417421,119870.416717902,179075.478642503,222373.850205165,245456.73700955,252773.994810536,171790.606056378,271141.644118323,105268.160409176,420291.863298112,309644.014921021,186886.533213345,236762.622282701,277576.566682267,238540.143294317,760934.893009443,130345.671088885,355275.458889202,274817.542170018,158699.063878534,296948.129578707,96208.5868091825,270268.000123475
35.1557234042,99748.4403417166,200425.798335564,236363.438401942,156217.182964602,119888.517501855,179100.069394989,222397.542638826,245478.066845812,252801.888371243,171806.455903447,271165.64410477,105283.103162029,420330.51489731,309678.413795799,186906.741462897,236786.037424881,277598.220021779,238559.700207296,760988.337022054,130355.675229891,355312.657242892,274840.436403442,158712.649554525,296972.69174703,96226.2473119648,270310.242596575
36.7382286303,99757.786060252,200443.008925882,236388.136780276,156232.41605902,119902.155458124,179118.746468755,222415.869792524,245494.805196627,252823.395860387,171818.848151253,271184.456283853,105294.404086297,420360.748826458,309704.924173888,186922.353547363,236804.239851503,277615.368025807,238575.118666573,761030.995324653,130363.608168612,355341.472105689,274858.477138506,158723.328952037,296992.046430227,96239.3693023036,270341.966706511
38.4697492365,99764.9992338232,200456.384865836,236407.029029591,156244.126548119,119912.52102529,179133.051295206,222430.153965716,245508.031033129,252840.107375452,171828.60558,271199.304560682,105303.024300355,420384.565285133,309725.513221569,186934.506738784,236818.493906466,277629.036076786,238587.355632442,761065.252112746,130369.939087422,355363.960398103,274872.78861051,158731.781123272,297007.399962367,96249.2107466807,270366.003925082
40.3819133642,99770.5991908413,200466.838093687,236421.571528937,156253.183741011,119920.451720827,179144.075969815,222441.34720446,245518.530650653,252853.16438779,171836.32593971,271211.079939631,105309.642235307,420403.417442217,309741.592709812,186944.019021549,236829.713643638,277639.976900247,238597.111191366,761092.869314644,130375.012788572,355381.604621768,274884.192923508,158738.501417717,297019.63433228,96256.6455852765,270384.34062963
42.5071318228,99774.9518351,200475.013695142,236432.784411743,156260.198514671,119926.531657935,179152.586167072,222450.12391857,245526.865220336,252863.37442314,171842.435079327,271220.418058089,105314.732175027,420418.341266082,309754.160789728,186951.469590404,236838.548437842,277648.729553951,238604.885859709,761115.112191058,130379.076330712,355395.456278468,274893.27789883,158743.843806514,297029.380293959,96262.2776065903,270398.35912829
44.8582205854,99778.3028566019,200481.344387357,236441.352678273,156265.581181898,119931.15297343,179159.096090515,222456.936011336,245533.408248344,252871.278764189,171847.217034168,271227.742318131,105318.612589375,420430.027304626,309763.886942395,186957.2465343,236845.432544946,277655.650758729,238611.011759827,761132.809985854,130382.292805274,355406.219182111,274900.433374347,158748.043485165,297037.056315777,96266.5111455881,270408.986904082
