#time	Werra-Meissner-Kreis	Kassel-City	Kassel	Waldeck-Frankenberg	Hersfeld-Rotenburg	Schwalm-Eder-Kreis	Fulda	Marburg-Biedenkopf	Lahn-Dill-Kreis	Limburg-Weilburg	Giessen	Vogelsbergkreis	Main-Kinzig-Kreis	Wetteraukreis	Rheingau-Taunus-Kreis	Hochtaunuskreis	Wiesbaden	Main-Taunus-Kreis	Frankfurt-am-Main	Offenbach-am-Main	Offenbach	Gross-Gerau	Darmstadt	Darmstadt-Dieburg	Odenwaldkreis	Bergstrasse
38.5920983684	-0.1718408225	-0.5028596943	-0.2536238553	-0.0764412761	-0.1550809591	-0.3427469808	0.176593291	0.0367959413	-0.2413765369	0.3916912949	0.5324742467	-0.1465749613	0.1770041091	-0.1680731676	-0.3567397262	-0.2095744324	0.509040401	0.2369601648	0.4284514989	-0.0604428387	-0.4176427574	-0.1830846373	0.2860099681	1.4126277366	-0.6783327069	-0.6992133451
42.31960298	-0.0682546983	-0.4814963772	-0.2467329275	-0.1020275969	-0.0643632631	-0.2819568704	0.3444402807	0.0036334298	-0.253253146	0.5047681027	0.4769485737	-0.0345352825	0.2136791774	-0.1443062217	-0.3452929975	-0.1900543139	0.504683256	0.3327969162	0.333976119	-0.0174821908	-0.4101190083	-0.1179788634	0.2302193816	1.31418898	-0.7113181077	-0.7064327937
45.7979634455	-0.1113421469	-0.5378628842	-0.5101810235	-0.2828380904	-0.3818799795	-0.4304962772	-0.0628726692	-0.1498340161	-0.4186726233	0.3219629713	0.2601194409	-0.3372583122	-0.0282991108	-0.2576602978	-0.4474103628	-0.3261990372	0.2697661391	0.1021811189	0.2032574164	-0.1305423061	-0.4567692579	-0.2348835316	-0.0190659351	0.7404325624	-0.7590074315	-0.7687398638
49.0868366162	-0.0879717858	-0.5252843157	-0.4948629203	-0.3156140539	-0.430672157	-0.4446493094	-0.1392365255	-0.2206986696	-0.4775730394	0.24135737	0.1034620716	-0.374313011	-0.0689594366	-0.2742527884	-0.4707543975	-0.3166146052	0.1737551631	0.1484587308	0.1053537309	-0.1549948547	-0.4838780041	-0.2197380293	-0.0998439515	0.5163772589	-0.8465091853	-0.7974864601
52.2311392183	-0.1315129603	-0.544856426	-0.554110592	-0.4097122984	-0.5256906869	-0.4676513814	-0.2844891383	-0.3528039996	-0.5442737932	0.0537489934	-0.0010704794	-0.4875359452	-0.1557842759	-0.3334113475	-0.4848876878	-0.3714192941	0.061166209	-0.0093088179	0.06417674	-0.2252853513	-0.5381099066	-0.2677648278	-0.1105134396	0.3755419442	-0.8653771411	-0.8307939937
55.2647175831	-0.1677483749	-0.5837685711	-0.603759354	-0.5107539324	-0.5647743995	-0.5295544079	-0.3010035448	-0.4121925507	-0.5879992781	-0.0192225734	-0.0926241846	-0.5309074719	-0.2359170777	-0.3911948539	-0.5051605502	-0.3695570159	0.010264991	-0.0556656533	0.0537615801	-0.2501601314	-0.5797363118	-0.2936636984	-0.198943625	0.1846990618	-0.8782766706	-0.8262028681
58.2133889606	-0.1748201011	-0.5734132704	-0.5991223229	-0.5227725802	-0.5636701328	-0.5332853554	-0.2863832369	-0.3955018352	-0.5697100517	-0.0432325122	-0.1344163652	-0.5049707215	-0.2188256664	-0.3966925221	-0.4921978009	-0.3336243781	-0.0377264009	-0.034663397	0.050949244	-0.2395656067	-0.589401597	-0.2822875845	-0.1776120323	0.2077239978	-0.8755166627	-0.8269346239
61.0971522375	-0.2677255506	-0.5763646344	-0.609678377	-0.5599448458	-0.6095592885	-0.5306038361	-0.3192432978	-0.4054445916	-0.5881731367	-0.0896882303	-0.1855921819	-0.503967132	-0.259045406	-0.4348664625	-0.5097804972	-0.3507039002	-0.0843174388	-0.0367718432	0.0163453698	-0.2526597653	-0.60618103	-0.2899857095	-0.1847572881	0.1299606215	-0.8747773135	-0.8281390264
63.9317470306	-0.2454602506	-0.562406269	-0.6048630826	-0.5529075741	-0.6101678265	-0.5479744984	-0.2861198535	-0.380112668	-0.5604346564	-0.1058824212	-0.2076605141	-0.4807013266	-0.2554399979	-0.4094566931	-0.4952134989	-0.3514341226	-0.1233786903	-0.010185715	0.0390401522	-0.2611347677	-0.5936719154	-0.2707558715	-0.1688979109	0.1410998217	-0.8728746697	-0.8290577765
66.7297600324	-0.2257060047	-0.5597125947	-0.6186049559	-0.5667387826	-0.6260983475	-0.574632469	-0.2885335588	-0.3567777667	-0.5515443781	-0.1145560498	-0.219355856	-0.5055647973	-0.296198596	-0.4318216429	-0.4979565858	-0.3849146878	-0.1460112396	0.0059847817	0.037025144	-0.2716652984	-0.6043316581	-0.2536179509	-0.1323627382	0.1454083511	-0.8704476026	-0.8101764113
69.5014256152	-0.1809405469	-0.5288172991	-0.6093844864	-0.5469556585	-0.6157951645	-0.5649878277	-0.2896629314	-0.3297231461	-0.5197445472	-0.0811799171	-0.1785461844	-0.4696196597	-0.2658793689	-0.4221127891	-0.5012464231	-0.3687073478	-0.106914901	0.0677848106	0.084461314	-0.2539274845	-0.6019545033	-0.2089594872	-0.0967212072	0.1691622875	-0.8699807587	-0.806175333
72.2552189904	-0.1139531675	-0.4857022224	-0.5765267375	-0.5024230645	-0.5770128548	-0.5279967095	-0.260354443	-0.2713889559	-0.4989378128	-0.0527208111	-0.1171405952	-0.4549257215	-0.2533351871	-0.4012937868	-0.4644751822	-0.3162163046	-0.0740932822	0.1079270975	0.1746512064	-0.2103468918	-0.5772688265	-0.1587277597	-0.0365301495	0.2727717562	-0.859223504	-0.8037552341
75	-0.1932424375	-0.4643718738	-0.5759795788	-0.5214003267	-0.5906476246	-0.5232497144	-0.2774780767	-0.2543938251	-0.4967518005	-0.0453076	-0.1068445728	-0.4807718843	-0.2674206436	-0.4062095594	-0.4926177176	-0.3235064208	-0.0456847292	0.1453134773	0.2066496213	-0.2001746642	-0.5751250653	-0.1554074178	0.0225788445	0.3030796606	-0.8573816293	-0.7916186912
